Date,Open,High,Low,Close,Adj Close,Volume,Day
2019-05-22,82.989998,83.339996,82.760002,83.199997,80.287903,5237800,320
2019-05-23,82.5,83.059998,81.989998,82.639999,79.747505,9704200,321
2019-05-24,82.199997,83.169998,82.089996,82.160004,79.284332,5999000,322
2019-05-28,82.849998,83.190002,81.129997,81.199997,78.35791,7927300,323
2019-05-29,80.709999,80.860001,77.699997,78.870003,76.109489,10116900,324
2019-05-30,78.919998,79.730003,78.610001,79.260002,76.485802,6177800,325
2019-05-31,78,78.260002,77.07,77.139999,74.647209,8891100,326
2019-06-03,77.239998,78.580002,77.080002,77.959999,75.440712,11665500,327
2019-06-04,79.300003,81.650002,78.779999,81.620003,78.982437,7526800,328
2019-06-05,82.290001,82.900002,81.93,82.720001,80.046883,8173200,329
2019-06-06,82.720001,83.059998,82.080002,82.449997,79.785606,4953000,330
2019-06-07,83.089996,83.68,82.809998,83.410004,80.714607,3891100,331
2019-06-10,83.75,84.199997,82.449997,82.580002,79.911415,4419800,332
2019-06-11,83.650002,84.339996,83.129997,83.260002,80.569458,3939400,333
2019-06-12,83.480003,84.019997,82.519997,82.629997,79.959808,4025900,334
2019-06-13,83.150002,83.919998,83.050003,83.610001,80.908119,3383400,335
2019-06-14,83.510002,83.860001,83.040001,83.440002,80.743614,4355600,336
2019-06-17,83.339996,83.459999,82.010002,82.110001,79.456604,5101900,337
2019-06-18,82.699997,84.650002,82.5,84.300003,81.575844,6456500,338
2019-06-19,83.730003,83.900002,83.139999,83.550003,80.850067,6217700,339
2019-06-20,84.900002,85.669998,84.419998,85.239998,82.485435,6163800,340
2019-06-21,85.160004,85.75,84.599998,85.75,82.978981,9289800,341
2019-06-24,86,86.849998,84.370003,84.5,81.769371,8043300,342
2019-06-25,84.599998,84.690002,82.160004,82.620003,79.950134,7339900,343
2019-06-26,83.150002,83.690002,82.440002,82.550003,79.882393,5838500,344
2019-06-27,82.93,83.769997,82.93,83.660004,80.956528,11436700,345
2019-06-28,83.989998,84.75,82.669998,83.949997,81.237152,12443800,346
2019-07-01,84.93,86.279999,84.900002,85.410004,82.649971,6587300,347
2019-07-02,85.360001,85.470001,84.220001,84.959999,82.214508,7187200,348
2019-07-03,85.330002,86.290001,85.120003,86.199997,83.414436,4012800,349
2019-07-05,85.800003,86.910004,85.419998,86.82,84.014404,6440900,350
2019-07-08,86.059998,88.519997,85.970001,88.480003,85.62075,7052000,351
2019-07-09,88.099998,88.800003,87.82,88.040001,85.194977,6219700,352
2019-07-10,88.480003,88.940002,87.389999,87.440002,84.614365,5985500,353
2019-07-11,87.709999,88.300003,87.400002,88.290001,85.436897,3942400,354
2019-07-12,88.18,89.309998,88.010002,89.120003,86.240089,4240900,355
2019-07-15,89.059998,89.870003,89.059998,89.480003,86.588455,3750900,356
2019-07-16,89.5,89.709999,88.57,88.599998,85.736885,5812800,357
2019-07-17,88.419998,88.690002,87.440002,87.5,84.672432,4461500,358
2019-07-18,87.629997,87.760002,86.760002,87.440002,84.614365,4607000,359
2019-07-19,87.730003,87.879997,86.480003,86.550003,83.753151,6635300,360
2019-07-22,86.559998,86.989998,85.830002,85.970001,83.191856,6810300,361
2019-07-23,86.639999,87.099998,86.230003,86.699997,83.898285,5659900,362
2019-07-24,86.650002,87.209999,86.309998,86.699997,83.898285,6362900,363
2019-07-25,86.82,87.5,86.589996,87.279999,84.459518,4546400,364
2019-07-26,87.440002,87.839996,86.769997,87.540001,84.711151,3707200,365
2019-07-29,87.650002,87.870003,87.18,87.620003,84.788551,4387300,366
2019-07-30,86.82,87.910004,86.360001,87.199997,84.382118,3561200,367
2019-07-31,87.089996,87.269997,85.550003,86.029999,83.249931,5818200,368
2019-08-01,85.260002,86.769997,82.699997,83.120003,80.433975,7871800,369
2019-08-02,82.529999,83.239998,80.790001,81.139999,78.51796,8761400,370
2019-08-05,79.660004,80.050003,78.190002,78.970001,76.418068,8493300,371
2019-08-06,79.849998,81.589996,79.489998,81.300003,78.672783,8664500,372
2019-08-07,80.5,81.82,80.089996,81.279999,78.653419,6275000,373
2019-08-08,81.809998,83.360001,81.610001,83,80.317833,6208900,374
2019-08-09,83.139999,83.43,81.32,81.980003,79.330811,5460200,375
2019-08-12,81.410004,81.949997,81.18,81.650002,79.011475,3762500,376
2019-08-13,81.169998,84.150002,80.849998,83.32,80.627502,6896800,377
2019-08-14,81.239998,81.690002,80.510002,81.029999,78.411514,7266100,378
2019-08-15,80.93,81.300003,79.440002,79.510002,76.940628,6713600,379
2019-08-16,80.089996,80.559998,79.25,80.279999,77.685753,5649000,380
2019-08-19,82,82.339996,80.830002,81.129997,78.508263,7027900,381
2019-08-20,80.720001,81.230003,79.449997,80.529999,77.927658,5903100,382
2019-08-21,81.940002,82.839996,81.629997,82.739998,80.066261,6454200,383
2019-08-22,83,83.720001,82.5,83.309998,80.617836,5571600,384
2019-08-23,82.019997,82.760002,80.029999,80.440002,77.840576,8497800,385
2019-08-26,81.440002,82.279999,80.739998,82.25,79.592094,4336000,386
2019-08-27,82.629997,83.18,82,82.029999,79.379189,3842500,387
2019-08-28,81.900002,83.589996,81.720001,83.480003,80.782333,4123700,388
2019-08-29,84.220001,85.769997,84.169998,85.379997,82.620949,5101900,389
2019-08-30,85.699997,85.989998,84.410004,84.5,81.980606,5235400,390
2019-09-03,84,84.830002,83.620003,84.669998,82.145531,6360800,391
2019-09-04,85.580002,86.5,85.5,86.349998,83.775467,4151200,392
2019-09-05,87.279999,88.620003,87.279999,88.419998,85.783737,6328400,393
2019-09-06,88.400002,88.980003,88.019997,88.690002,86.045692,3625300,394
2019-09-09,88.940002,89.349998,88.419998,88.669998,86.026291,4282400,395
2019-09-10,88.260002,88.629997,86.290001,86.830002,84.241127,7072400,396
2019-09-11,86.959999,87.25,85.870003,86.75,84.163528,4623300,397
2019-09-12,87.099998,88.07,86.220001,87.669998,85.056084,4057500,398
2019-09-13,88.25,88.790001,87.300003,87.32,84.716537,5894700,399
2019-09-16,87.089996,87.82,86.669998,87.269997,84.668022,4171700,400
2019-09-17,86.769997,87.639999,86.470001,87.589996,84.978477,3248400,401
2019-09-18,87.650002,88.400002,87.209999,88.080002,85.453873,4722200,402
2019-09-19,88.400002,88.720001,87.510002,87.699997,85.085213,4231200,403
2019-09-20,88,88.489998,86.669998,86.68,84.095619,6991100,404
2019-09-23,86.980003,88.019997,86.800003,87.690002,85.0755,4790000,405
2019-09-24,88.449997,88.690002,86.760002,87.18,84.580719,10202900,406
2019-09-25,91.779999,92.790001,90.150002,90.809998,88.102463,25330700,407
2019-09-26,91.620003,92.449997,90.25,92.169998,89.421928,10408300,408
2019-09-27,91.849998,92.860001,91.599998,92.309998,89.557762,6420500,409
2019-09-30,92.529999,94.080002,92.5,93.919998,91.119766,7401200,410
2019-10-01,94.129997,94.75,92.059998,92.279999,89.528656,8464900,411
2019-10-02,91.470001,91.839996,90.57,91.489998,88.762199,6933900,412
2019-10-03,91.309998,92.32,90.349998,92.220001,89.470444,5762300,413
2019-10-04,92.220001,93.169998,91.93,93.07,90.29509,4551400,414
2019-10-07,92.5,93.919998,92.400002,93.169998,90.392113,4975400,415
2019-10-08,90.449997,92.709999,90.410004,91.75,89.014458,6916800,416
2019-10-09,92.410004,93.050003,91.82,92.519997,89.761482,5115900,417
2019-10-10,93.5,93.5,92.720001,93,90.22718,5794100,418
2019-10-11,94,94.57,93.559998,93.879997,91.08094,6220100,419
2019-10-14,94.199997,95.25,94.050003,94.879997,92.051125,4636000,420
